major_00,major_18,major_15
major_08,major_05,major_03
major_14,major_20,major_11
major_09,major_15,major_13
major_15,major_11,major_17
major_17,major_05,major_13
major_16,major_12,major_08
major_15,major_21,major_16
major_04,major_14,major_17
major_12,major_15,major_18
major_08,major_06,major_05
major_19,major_03,major_00
major_15,major_03,major_17
major_17,major_16,major_19
major_08,major_20,major_00
major_16,major_00,major_07
major_15,major_05,major_07
major_10,major_00,major_14
major_03,major_02,major_11
major_09,major_04,major_19
